date,property_name,market,year,month,day_of_week,total_rooms,rooms_sold,rooms_available,occupancy,adr,revpar,compset_occupancy,compset_adr,compset_revpar,market_occupancy,market_adr,market_revpar,mpi,ari,rgi,seg_transient_pct,seg_group_pct,seg_contract_pct,adr_transient,adr_group,adr_contract,revenue_transient,revenue_group,revenue_contract,total_revenue,quarter
2024-01-01,Property_BAL_001,Bali,2024,1,Monday,180,149,180,82.7,5965000,4934000,86.2,6672801,5753000,80.7,6165624,4973000,95.9,89.4,85.8,84.5,18.9,-3.4,6164000,4824000,4556000,750745200,168351900,-30312100,888785000,1
2024-01-02,Property_BAL_001,Bali,2024,1,Tuesday,180,126,180,70.2,5753000,4037000,75.8,6190257,4691000,67.8,5468081,3705000,92.6,92.9,86.1,71.4,14.1,14.5,6176000,4833000,4565000,517389800,102075900,105412300,724878000,1
2024-01-03,Property_BAL_001,Bali,2024,1,Wednesday,180,142,180,78.8,5372000,4233000,83.2,5592712,4655000,77.9,5365931,4179000,94.7,96.1,90.9,76.9,10.4,12.6,5688000,4452000,4204000,586949900,79404100,96470000,762824000,1
2024-01-04,Property_BAL_001,Bali,2024,1,Thursday,180,140,180,77.8,6586000,5121000,83.9,7132001,5982000,76.6,5958257,4565000,92.7,92.3,85.6,77.8,21.1,1.1,6923000,5418000,5117000,717347400,194403100,10289500,922040000,1
2024-01-05,Property_BAL_001,Bali,2024,1,Friday,180,159,180,88.1,6497000,5724000,95.5,7031276,6718000,84.1,6051841,5087000,92.2,92.4,85.2,70.1,12.6,17.4,7006000,5483000,5179000,723662700,129806000,179554300,1033023000,1
2024-01-06,Property_BAL_001,Bali,2024,1,Saturday,180,161,180,89.4,7194000,6434000,92.4,8270353,7638000,87.3,6944279,6065000,96.8,87.0,84.2,64.1,16.1,19.8,7877000,6165000,5822000,742154400,186246700,229832900,1158234000,1
2024-01-07,Property_BAL_001,Bali,2024,1,Sunday,180,176,180,97.6,7303000,7127000,104.0,8239029,8566000,94.6,7116307,6732000,93.9,88.6,83.2,82.6,11.6,5.8,7610000,5956000,5625000,1061452700,149287500,74587900,1285328000,1
2024-01-08,Property_BAL_001,Bali,2024,1,Monday,180,140,180,77.8,5726000,4453000,80.7,6655617,5369000,77.8,5669346,4411000,96.4,86.0,82.9,65.1,11.2,23.8,6267000,4904000,4632000,521632600,89461500,190545900,801640000,1
2024-01-09,Property_BAL_001,Bali,2024,1,Tuesday,180,133,180,73.6,5901000,4344000,78.4,6212261,4871000,70.2,5619150,3944000,93.9,95.0,89.2,75.4,14.2,10.4,6264000,4902000,4630000,592017000,111063000,81753000,784833000,1
2024-01-10,Property_BAL_001,Bali,2024,1,Wednesday,180,137,180,76.3,6008000,4585000,81.7,6308012,5156000,73.2,5302869,3882000,93.4,95.2,88.9,63.6,11.6,24.9,6603000,5168000,4880000,523103500,95137200,204855300,823096000,1
2024-01-11,Property_BAL_001,Bali,2024,1,Thursday,180,148,180,82.0,6549000,5372000,84.8,6863918,5823000,75.2,6627057,4983000,96.7,95.4,92.3,81.5,13.1,5.4,6840000,5353000,5055000,789903000,127122300,52226700,969252000,1
2024-01-12,Property_BAL_001,Bali,2024,1,Friday,180,159,180,88.5,6717000,5944000,95.9,7228198,6934000,81.7,6835857,5587000,92.3,92.9,85.7,65.9,5.0,29.1,7356000,5757000,5437000,703642300,53400200,310960600,1068003000,1
2024-01-13,Property_BAL_001,Bali,2024,1,Saturday,180,180,180,100.0,7291000,7288000,104.9,7954723,8347000,84.0,6759395,5678000,95.3,91.7,87.3,63.8,13.4,22.8,8000000,6261000,5913000,837056300,176461500,298862200,1312380000,1
2024-01-14,Property_BAL_001,Bali,2024,1,Sunday,180,171,180,95.2,7257000,6906000,100.2,7947241,7965000,85.8,6891751,5913000,95.0,91.3,86.7,77.7,11.1,11.2,7666000,6000000,5666000,964477100,137383100,139086900,1240947000,1
2024-01-15,Property_BAL_001,Bali,2024,1,Monday,180,136,180,75.4,5983000,4514000,81.0,6153526,4987000,74.4,5643089,4199000,93.1,97.2,90.5,78.7,15.6,5.7,6291000,4923000,4650000,640057500,127162300,46468200,813688000,1
2024-01-16,Property_BAL_001,Bali,2024,1,Tuesday,180,129,180,71.5,5811000,4156000,75.4,6197358,4672000,72.2,5329624,3847000,94.9,93.8,89.0,77.6,19.8,2.7,6116000,4787000,4521000,581351600,148342000,19925400,749619000,1
2024-01-17,Property_BAL_001,Bali,2024,1,Wednesday,180,130,180,72.4,5761000,4169000,77.2,6221961,4801000,67.8,5378085,3644000,93.8,92.6,86.8,71.7,15.8,12.5,6175000,4833000,4564000,536733600,118462400,93734000,748930000,1
2024-01-18,Property_BAL_001,Bali,2024,1,Thursday,180,164,180,91.3,6043000,5516000,97.2,6712453,6522000,81.2,6315694,5126000,93.9,90.0,84.6,65.9,16.3,17.8,6582000,5151000,4865000,653233900,161406400,176411700,991052000,1
2024-01-19,Property_BAL_001,Bali,2024,1,Friday,180,157,180,87.1,7228000,6294000,93.7,7998441,7491000,82.7,6849061,5662000,93.0,90.4,84.0,76.2,21.5,2.3,7630000,5972000,5640000,864873100,244292400,25630500,1134796000,1
2024-01-20,Property_BAL_001,Bali,2024,1,Saturday,180,160,180,89.2,7327000,6533000,94.2,8054570,7586000,83.6,7480489,6255000,94.7,91.0,86.1,82.2,15.6,2.2,7629000,5971000,5639000,963684400,182429900,26205700,1172320000,1
2024-01-21,Property_BAL_001,Bali,2024,1,Sunday,180,154,180,85.8,7049000,6047000,90.8,7772144,7055000,77.7,7217987,5606000,94.5,90.7,85.7,63.3,15.6,21.1,7737000,6055000,5719000,687078900,169066800,229400400,1085546000,1
2024-01-22,Property_BAL_001,Bali,2024,1,Monday,180,140,180,77.7,6095000,4737000,81.3,6799988,5528000,78.2,6177468,4830000,95.6,89.6,85.7,81.3,17.3,1.4,6358000,4976000,4699000,693309200,147912500,12078200,853300000,1
2024-01-23,Property_BAL_001,Bali,2024,1,Tuesday,180,129,180,71.9,5914000,4253000,76.9,6114517,4700000,64.3,5593715,3594000,93.5,96.7,90.5,70.6,16.4,12.9,6356000,4975000,4698000,538782400,125465000,98658600,762906000,1
2024-01-24,Property_BAL_001,Bali,2024,1,Wednesday,180,145,180,80.3,5884000,4726000,84.8,6280147,5327000,78.9,6135660,4839000,94.7,93.7,88.7,73.2,10.2,16.6,6296000,4927000,4654000,624483700,86700900,141995300,853180000,1
2024-01-25,Property_BAL_001,Bali,2024,1,Thursday,180,153,180,85.0,6069000,5156000,89.8,6749878,6063000,73.4,6226278,4568000,94.6,89.9,85.0,72.1,12.6,15.4,6507000,5093000,4810000,669476900,116546300,142533800,928557000,1
2024-01-26,Property_BAL_001,Bali,2024,1,Friday,180,163,180,90.3,6807000,6147000,92.6,7724911,7153000,85.0,6685495,5685000,97.5,88.1,85.9,75.4,13.4,11.2,7228000,5656000,5342000,836994300,148168400,124378300,1109541000,1
2024-01-27,Property_BAL_001,Bali,2024,1,Saturday,180,180,180,100.0,7473000,7473000,107.7,7668666,8259000,93.6,6948836,6504000,92.9,97.4,90.5,80.7,10.9,8.4,7830000,6128000,5788000,1085653100,146826700,112660200,1345140000,1
2024-01-28,Property_BAL_001,Bali,2024,1,Sunday,180,164,180,91.3,7025000,6416000,96.6,7468282,7215000,88.9,6614315,5882000,94.5,94.1,88.9,77.6,16.9,5.5,7403000,5794000,5472000,893955600,194476500,63667900,1152100000,1
