property_name,market,year,month,month_name,total_rooms,rooms_sold,rooms_available,occupancy,adr,revpar,compset_occupancy,compset_adr,compset_revpar,market_occupancy,market_adr,market_revpar,mpi,ari,rgi,seg_transient_pct,seg_group_pct,seg_contract_pct,total_revenue,revenue_transient,revenue_group,revenue_contract
Property_BAL_001,Bali,2024,1,January,180,4627,5580,82.9,6431000,5331000,87.7,6923000,6071000,78.3,6181000,4840000,94.5,92.9,87.8,73.4,14.3,12.3,29754712000,21854739300,4249185800,3650787100
Property_BAL_001,Bali,2024,2,February,180,4335,5220,83.0,6406000,5317000,89.0,6962000,6196000,77.7,6119000,4754000,93.3,92.0,85.8,75.5,15.1,9.3,27769541000,20975249200,4204356000,2589935500
Property_BAL_001,Bali,2024,3,March,180,4167,5580,74.7,5724000,4276000,79.4,6156000,4888000,70.8,5523000,3910000,94.1,93.0,87.5,75.6,12.9,11.5,23851532000,18030254600,3081309200,2739968200
Property_BAL_001,Bali,2024,4,April,180,3777,5400,69.9,5402000,3776000,74.5,5871000,4374000,65.2,5090000,3319000,93.8,92.0,86.3,74.2,13.4,12.4,20403806000,15131344300,2734667500,2537794100
Property_BAL_001,Bali,2024,5,May,180,3907,5580,70.0,5310000,3717000,74.5,5744000,4279000,66.4,5011000,3327000,94.0,92.4,86.9,76.4,15.0,8.6,20747510000,15840955600,3116016200,1790538100
Property_BAL_001,Bali,2024,6,June,180,4453,5400,82.5,6171000,5091000,87.1,6637000,5781000,77.2,5916000,4567000,94.7,93.0,88.1,73.7,13.9,12.3,27478144000,20264219100,3831823000,3382101700
Property_BAL_001,Bali,2024,7,July,180,4908,5580,88.0,6752000,5942000,93.3,7269000,6782000,82.1,6514000,5348000,94.3,92.9,87.6,75.0,14.8,10.2,33137092000,24853933700,4902046300,3381112500
Property_BAL_001,Bali,2024,8,August,180,5047,5580,90.4,6980000,6310000,95.9,7526000,7217000,84.2,6663000,5610000,94.3,92.7,87.4,76.3,15.0,8.6,35227801000,26892733400,5299613900,3035453700
Property_BAL_001,Bali,2024,9,September,180,4692,5400,86.9,6633000,5764000,92.5,7221000,6679000,80.3,6395000,5135000,93.9,91.9,86.3,77.0,15.4,7.6,31120587000,23967869400,4785900600,2366817000
Property_BAL_001,Bali,2024,10,October,180,4092,5580,73.3,5576000,4087000,77.5,6048000,4687000,68.9,5343000,3681000,94.6,92.2,87.2,74.9,13.7,11.4,22818217000,17092036900,3133434800,2592745300
Property_BAL_001,Bali,2024,11,November,180,4137,5400,76.6,5785000,4431000,81.2,6280000,5099000,71.7,5563000,3989000,94.3,92.1,86.9,74.5,13.9,11.7,23932917000,17819456200,3321338500,2792122300
Property_BAL_001,Bali,2024,12,December,180,4899,5580,87.8,6828000,5995000,93.2,7334000,6835000,81.8,6356000,5199000,94.2,93.1,87.7,75.8,14.5,9.7,33449938000,25362954600,4838739300,3248244400
