property_name,market,month,year,month_name,property_rooms_available,property_rooms_sold,property_occupancy,property_adr,property_revpar,compset_occupancy,compset_adr,compset_revpar,market_occupancy,market_adr,market_revpar,mpi,ari,rgi,seg_transient,seg_group,seg_contract,mom_occ_change,mom_adr_change,mom_revpar_change
Property_BAL_001,Bali,2024-01-01,2024,January,9300,8062,86.7,5572000,4830000,91.0,5965475,5431000,74.5,5152769,3838000,95.2,93.4,88.9,68.3,16.0,15.7,,,
Property_BAL_001,Bali,2024-02-01,2024,February,8700,7287,83.8,5509000,4614000,92.7,5988189,5550000,79.0,5208942,4114000,90.4,92.0,83.1,60.4,19.9,19.7,-2.9000000000000057,-1.1306532663316604,-4.472049689440993
Property_BAL_001,Bali,2024-03-01,2024,March,9300,6908,74.3,5335000,3963000,77.6,5826150,4519000,69.0,4694156,3237000,95.8,91.6,87.7,75.7,23.8,0.5,-9.5,-3.1584679615175193,-14.109232769830948
Property_BAL_001,Bali,2024-04-01,2024,April,9000,6672,74.1,4391000,3255000,81.0,4496058,3640000,71.1,4748547,3377000,91.6,97.7,89.4,65.0,17.2,17.8,-0.20000000000000284,-17.69447047797563,-17.865253595760787
Property_BAL_001,Bali,2024-05-01,2024,May,9300,6556,70.5,4387000,3093000,70.7,4749991,3360000,61.8,4292308,2653000,99.7,92.4,92.1,65.4,27.7,6.8,-3.5999999999999943,-0.09109542245502311,-4.976958525345621
Property_BAL_001,Bali,2024-06-01,2024,June,9000,7160,79.6,5165000,4109000,85.5,5323903,4550000,74.9,5311833,3978000,93.1,97.0,90.3,62.0,20.9,17.1,9.099999999999994,17.734214725324815,32.84836728095699
Property_BAL_001,Bali,2024-07-01,2024,July,9300,8415,90.5,5975000,5406000,91.6,6137410,5625000,86.5,5782719,5002000,98.7,97.4,96.1,71.3,21.7,7.0,10.900000000000006,15.682478218780261,31.56485762959358
Property_BAL_001,Bali,2024-08-01,2024,August,9300,8370,90.0,5969000,5372000,95.3,6275961,5980000,92.1,5840248,5379000,94.4,95.1,89.8,64.0,23.3,12.7,-0.5,-0.10041841004183594,-0.6289308176100628
Property_BAL_001,Bali,2024-09-01,2024,September,9000,7599,84.4,5820000,4914000,91.6,6094545,5582000,82.6,5673143,4686000,92.2,95.5,88.0,74.1,29.5,-3.6,-5.599999999999994,-2.496230524375942,-8.52568875651526
Property_BAL_001,Bali,2024-10-01,2024,October,9300,6823,73.4,4571000,3353000,75.1,4787517,3594000,67.9,4436014,3014000,97.7,95.5,93.3,71.4,24.1,4.5,-11.0,-21.46048109965636,-31.76638176638177
Property_BAL_001,Bali,2024-11-01,2024,November,9000,6883,76.5,5256000,4020000,79.7,6248368,4980000,73.5,4722886,3472000,96.0,84.1,80.7,64.6,22.4,12.9,3.0999999999999943,14.985779916867203,19.892633462570842
Property_BAL_001,Bali,2024-12-01,2024,December,9300,8280,89.0,5955000,5302000,94.7,6414052,6077000,79.0,5115995,4043000,94.0,92.8,87.2,67.8,24.3,8.0,12.5,13.299086757990874,31.89054726368159
