date,property_name,market,year,month,day_of_week,total_rooms,rooms_sold,rooms_available,occupancy,adr,revpar,compset_occupancy,compset_adr,compset_revpar,market_occupancy,market_adr,market_revpar,mpi,ari,rgi,seg_transient_pct,seg_group_pct,seg_contract_pct,adr_transient,adr_group,adr_contract,revenue_transient,revenue_group,revenue_contract,total_revenue,quarter
2025-01-01,Property_JAK_001,Jakarta,2025,1,Wednesday,280,166,280,59.2,2803000,1659000,64.2,3158535,2028000,54.8,2439461,1338000,92.2,88.7,81.8,13.9,45.9,40.3,3524000,2758000,2605000,64593300,213364500,187340200,465298000,1
2025-01-02,Property_JAK_001,Jakarta,2025,1,Thursday,280,153,280,54.5,2735000,1491000,57.1,2949434,1683000,49.9,2654088,1323000,95.5,92.7,88.6,22.2,45.2,32.6,3350000,2621000,2476000,92756700,189147600,136550600,418455000,1
2025-01-03,Property_JAK_001,Jakarta,2025,1,Friday,280,155,280,55.5,2336000,1296000,57.0,2572924,1467000,50.3,2280086,1148000,97.3,90.8,88.3,26.8,42.7,30.5,2823000,2209000,2086000,97044100,154661900,110374000,362080000,1
2025-01-04,Property_JAK_001,Jakarta,2025,1,Saturday,280,123,280,43.8,1829000,801000,45.2,2085367,942000,39.9,1679553,670000,97.0,87.7,85.0,13.0,61.1,25.9,2287000,1790000,1690000,29204400,137544000,58218500,224967000,1
2025-01-05,Property_JAK_001,Jakarta,2025,1,Sunday,280,118,280,42.2,2084000,880000,43.6,2176511,948000,40.4,2105541,851000,96.9,95.7,92.8,13.7,47.2,39.1,2621000,2051000,1937000,33615500,116055200,96241300,245912000,1
2025-01-06,Property_JAK_001,Jakarta,2025,1,Monday,280,179,280,63.8,3146000,2006000,67.5,3191087,2154000,59.6,3186920,1898000,94.5,98.6,93.1,17.1,58.7,24.2,3887000,3042000,2873000,96545000,330290000,136299000,563134000,1
2025-01-07,Property_JAK_001,Jakarta,2025,1,Tuesday,280,176,280,62.7,2794000,1752000,68.6,2969906,2036000,60.2,2670127,1608000,91.5,94.1,86.1,20.5,46.9,32.6,3436000,2689000,2540000,100961300,230609600,160173100,491744000,1
2025-01-08,Property_JAK_001,Jakarta,2025,1,Wednesday,280,167,280,59.5,2950000,1756000,64.0,3049700,1953000,57.5,2669890,1535000,92.9,96.7,89.9,31.3,53.2,15.5,3496000,2736000,2584000,154140800,262328500,76180700,492650000,1
2025-01-09,Property_JAK_001,Jakarta,2025,1,Thursday,280,171,280,61.0,2891000,1764000,62.5,3076538,1924000,59.0,2799450,1652000,97.6,94.0,91.7,31.3,51.3,17.4,3430000,2684000,2535000,154544300,253559700,86257000,494361000,1
2025-01-10,Property_JAK_001,Jakarta,2025,1,Friday,280,124,280,44.3,2393000,1060000,47.0,2442244,1149000,44.6,2350134,1048000,94.2,98.0,92.3,30.9,53.2,15.9,2839000,2222000,2098000,91704900,157939200,47088000,296732000,1
2025-01-11,Property_JAK_001,Jakarta,2025,1,Saturday,280,131,280,46.7,2138000,998000,48.3,2379897,1148000,43.9,1887380,828000,96.8,89.8,86.9,31.1,37.4,31.5,2555000,2000000,1889000,87202800,104623600,88251600,280078000,1
2025-01-12,Property_JAK_001,Jakarta,2025,1,Sunday,280,113,280,40.3,2218000,895000,41.4,2318158,960000,38.1,2132095,813000,97.4,95.7,93.2,27.5,56.7,15.9,2656000,2078000,1963000,68835200,142031300,39767500,250634000,1
2025-01-13,Property_JAK_001,Jakarta,2025,1,Monday,280,185,280,66.2,3164000,2096000,70.0,3505956,2456000,61.1,3362354,2054000,94.6,90.2,85.3,21.4,56.5,22.1,3860000,3021000,2853000,125363000,330581000,129395900,585340000,1
2025-01-14,Property_JAK_001,Jakarta,2025,1,Tuesday,280,179,280,63.8,2969000,1893000,69.3,3247424,2251000,62.1,3031921,1883000,92.0,91.4,84.1,20.9,66.8,12.2,3608000,2824000,2667000,111271300,355234500,64945200,531451000,1
2025-01-15,Property_JAK_001,Jakarta,2025,1,Wednesday,280,184,280,65.6,2976000,1951000,70.4,3051554,2148000,62.8,2761938,1735000,93.1,97.5,90.8,26.7,45.3,28.0,3592000,2811000,2655000,146149000,247847900,153587200,547584000,1
2025-01-16,Property_JAK_001,Jakarta,2025,1,Thursday,280,165,280,59.0,2950000,1740000,61.4,3359158,2061000,60.2,2889954,1739000,96.2,87.8,84.4,33.3,55.0,11.7,3471000,2717000,2566000,161924900,267638000,57187100,486750000,1
2025-01-17,Property_JAK_001,Jakarta,2025,1,Friday,280,126,280,45.1,2460000,1111000,48.2,2652323,1280000,43.4,2399285,1041000,93.6,92.7,86.8,33.0,45.4,21.6,2912000,2279000,2152000,102138100,140866900,66955000,309960000,1
